Nombre,prueba,tipo,Hora de inserción,Tamaño Total copiado,Total de ficheros copiados,Ficheros borrados,Pago,Cobró,Comentario
,Miércoles 25 de Enero,,,,,,,,
,   52  Dispositivos,,,,,,,,
,   474.1 GB,,,,,,,,
,   1015 ficheros,,,,,,,,
,   $3018,,,,,,,,
Nombre de Dispositivo,,Tipo,Hora de inserción,Tamaño Total copiado,Total de ficheros copiados,Ficheros borrados,Pago,Cobró,Comentario
,060 - Entre Sombras (Colombia).mpg,301MB,06:39:12 ,M:\060 - Entre Sombras (Colombia).mpg,,,,,
,044 - Entre Sombras (Colombia).mpg,299MB,06:34:39 ,M:\044 - Entre Sombras (Colombia).mpg,,,,,
,057 - Entre Sombras (Colombia).mpg,291MB,06:38:22 ,M:\057 - Entre Sombras (Colombia).mpg,,,,,
,056 - Entre Sombras (Colombia).mpg,290MB,06:38:04 ,M:\056 - Entre Sombras (Colombia).mpg,,,,,
,048 - Entre Sombras (Colombia).mpg,289MB,06:35:55 ,M:\048 - Entre Sombras (Colombia).mpg,,,,,
,051 - Entre Sombras (Colombia).mpg,289MB,06:36:44 ,M:\051 - Entre Sombras (Colombia).mpg,,,,,
,055 - Entre Sombras (Colombia).mpg,289MB,06:37:45 ,M:\055 - Entre Sombras (Colombia).mpg,,,,,
,058 - Entre Sombras (Colombia).mpg,288MB,06:38:41 ,M:\058 - Entre Sombras (Colombia).mpg,,,,,
,047 - Entre Sombras (Colombia).mpg,288MB,06:35:38 ,M:\047 - Entre Sombras (Colombia).mpg,,,,,
,054 - Entre Sombras (Colombia).mpg,288MB,06:37:30 ,M:\054 - Entre Sombras (Colombia).mpg,,,,,
,049 - Entre Sombras (Colombia).mpg,287MB,06:36:10 ,M:\049 - Entre Sombras (Colombia).mpg,,,,,
,050 - Entre Sombras (Colombia).mpg,287MB,06:36:25 ,M:\050 - Entre Sombras (Colombia).mpg,,,,,
,046 - Entre Sombras (Colombia).mpg,287MB,06:35:23 ,M:\046 - Entre Sombras (Colombia).mpg,,,,,
,053 - Entre Sombras (Colombia).mpg,286MB,06:37:15 ,M:\053 - Entre Sombras (Colombia).mpg,,,,,
,039 - Entre Sombras (Colombia).mpg,285MB,06:33:31 ,M:\039 - Entre Sombras (Colombia).mpg,,,,,
,041 - Entre Sombras (Colombia).mpg,284MB,06:34:02 ,M:\041 - Entre Sombras (Colombia).mpg,,,,,
,045 - Entre Sombras (Colombia).mpg,284MB,06:35:03 ,M:\045 - Entre Sombras (Colombia).mpg,,,,,
,052 - Entre Sombras (Colombia).mpg,283MB,06:37:00 ,M:\052 - Entre Sombras (Colombia).mpg,,,,,
,040 - Entre Sombras (Colombia).mpg,283MB,06:33:47 ,M:\040 - Entre Sombras (Colombia).mpg,,,,,
,042 - Entre Sombras (Colombia).mpg,283MB,06:34:19 ,M:\042 - Entre Sombras (Colombia).mpg,,,,,
,038 - Entre Sombras (Colombia).mpg,279MB,06:33:13 ,M:\038 - Entre Sombras (Colombia).mpg,,,,,
