,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Viernes 1 de Abril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,   38  Dispositivos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,   337.4 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,   917 ficheros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,   $5334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nombre de Dispositivo,,Tipo,Hora de inserci�n,Tama�o Total copiado,Total de ficheros copiados,Ficheros borrados,Pago,Cobr�,Comentario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCL Alcatel 1,Celular,18:38,3.2 GB,5 ficheros,0 ficheros,$10,,""""""
,Nombre de Fichero,Tama�o,Hora de copia,Ruta donde se copi�,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Los ricos tambien lloran Capt-27 {29-03-2022}.mp4,158MB,06:31:36 p.m.,W:\Los ricos tambien lloran Capt-27 {29-03-2022}.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Los ricos tambien lloran Capt-29 {31-03-2022}.mp4,150MB,06:32:15 p.m.,W:\Los ricos tambien lloran Capt-29 {31-03-2022}.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Los ricos tambien lloran Capt-28 {30-03-2022}.mp4,147MB,06:31:56 p.m.,W:\Los ricos tambien lloran Capt-28 {30-03-2022}.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pura sangre Capt-57 {15-03-2022}.mp4,73MB,06:29:12 p.m.,W:\Pura sangre Capt-57 {15-03-2022}.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pura sangre Capt-58 {15-03-2022}.mp4,72MB,06:29:12 p.m.,W:\Pura sangre Capt-58 {15-03-2022}.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pura sangre Capt-62 {18-03-2022}.mp4,71MB,06:29:48 p.m.,W:\Pura sangre Capt-62 {18-03-2022}.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pura sangre Capt-61 {17-03-2022}.mp4,69MB,06:29:39 p.m.,W:\Pura sangre Capt-61 {17-03-2022}.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pura Sangre Capt-59 {16-03-2022}.mp4,68MB,06:29:21 p.m.,W:\Pura Sangre Capt-59 {16-03-2022}.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pura sangre Capt-60 {16-03-2022}.mp4,65MB,06:29:31 p.m.,W:\Pura sangre Capt-60 {16-03-2022}.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USB 16 GB ,Memoria 16 GB,18:15,10.9 GB,20 ficheros,55 ficheros,$30,,""""""
,Nombre de Fichero,Tama�o,Hora de copia,Ruta donde se copi�,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,050 - Crash (Turca).mp4,1.5GB,06:37:08 p.m.,U:\050 - Crash (Turca).mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,055 - Crash (Turca).mp4,1.1GB,06:49:18 p.m.,U:\055 - Crash (Turca).mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,046 - Crash (Turca).mp4,1.0GB,06:31:23 p.m.,U:\046 - Crash (Turca).mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,053 - Crash (Turca).mp4,828MB,06:44:03 p.m.,U:\053 - Crash (Turca).mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,045 - Crash (Turca).mp4,827MB,06:29:07 p.m.,U:\045 - Crash (Turca).mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,041 - Crash (Turca).mp4,808MB,06:23:54 p.m.,U:\041 - Crash (Turca).mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,043 - Crash (Turca).mp4,510MB,06:27:13 p.m.,U:\043 - Crash (Turca).mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,047 - Crash (Turca).mp4,509MB,06:34:13 p.m.,U:\047 - Crash (Turca).mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,052 - Crash (Turca).mp4,500MB,06:42:43 p.m.,U:\052 - Crash (Turca).mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,051 - Crash (Turca).mp4,492MB,06:41:26 p.m.,U:\051 - Crash (Turca).mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,048 - Crash (Turca).mp4,483MB,06:35:32 p.m.,U:\048 - Crash (Turca).mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,037 - Crash (Turca).mp4,479MB,06:19:10 p.m.,U:\037 - Crash (Turca).mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,040 - Crash (Turca).mp4,474MB,06:22:28 p.m.,U:\040 - Crash (Turca).mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,036 - Crash (Turca).mp4,407MB,06:17:51 p.m.,U:\036 - Crash (Turca).mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,039 - Crash (Turca).mp4,228MB,06:21:40 p.m.,U:\039 - Crash (Turca).mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,038 - Crash (Turca).mp4,225MB,06:20:52 p.m.,U:\038 - Crash (Turca).mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042 - Crash (Turca).mp4,224MB,06:26:36 p.m.,U:\042 - Crash (Turca).mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,044 - Crash (Turca).ts,157MB,06:28:37 p.m.,U:\044 - Crash (Turca).ts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,054 - Crash (Turca).mp4,119MB,06:46:02 p.m.,U:\054 - Crash (Turca).mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,049 - Crash (Turca).mp4,118MB,06:36:46 p.m.,U:\049 - Crash (Turca).mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MELANY ,Memoria 32 GB,18:12,1.3 GB,5 ficheros,16 ficheros,$8,,""""""
,Nombre de Fichero,Tama�o,Hora de copia,Ruta donde se copi�,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dora Y La Ciudad Perdida [2019] [60FPS] [1080p] [Dual Audio].mpg,663MB,06:13:40 p.m.,S:\Dora Y La Ciudad Perdida [2019] [60FPS] [1080p] [Dual Audio].mpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dora Y Sus Amigos {30-03-2022}.mpg,273MB,06:14:35 p.m.,S:\Dora Y Sus Amigos {30-03-2022}.mpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
